Line,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7
th'ardor of true love Burns in a calme breast,emotions,fire,anatomy,,,,
in him affections Are not like tempests raging: ,emotions,nature,,,,,
yet [the affections] of force Like an euen gale of wind to beare loves ship unto the port of happinesse,affection,nature,labor,nautical,emotions,,
"his fire Burns, and consumes not, but maintaine desire.",fire,consumption,preservation,emotions,,,
cold temperature in love,temperature,emotions,,,,,
"my claime takes roote And growes upon the promise of the State,",language,nature,politics,,,,
"my cause Pleads, Thus in armes against the citty walls.",politics,language,weapons__armor,urban,,,
I would persue my chalenge through your bloods.,hunting__fishing,resistance,anatomy,,,,
Giue not such passage to your heat ,spatial,temperature,resistance,,,,
the main claim of both our armed loues.,politics,weapons__armor,emotions,,,,
your prerogatiue Extends no further then your sword can reach,judiciary,spatial,weapons__armor,,,,
"when proud Prince, stoop at imperious chance",character_traits__nature,politics,social_relations,luck,,,
For did no other title then my sword Make my claime righteous,social_status,weapons__armor,politics,ethics,,,
"the doubtfull lot Cast on the ends of warre, carries my fate Euen with your pride",mental_faculty__state__entities,games__sports,military,labor,mystical,character_traits__nature,
I challenge and aver the right of war Due to my sword.,social_relations,judiciary,military,weapons__armor,,,
[unsheath the sword] at your bosome.,weapons__armor,anatomy,,,,,
like Esops warriour they could have fought,myth,military,violence,,,,
maintain The siege against the hottest opposition.,preservation,military,temperature,social_unrest,,,
Did I not thinke my fortunes ebbe at lowest It might amaze me.,mental_faculty__state__entities,mystical,nature,spatial,,,
A Sun may rise to mak't a happy day,nature,emotions,time,,,,
"[the grief that] took possession on our breasts, Cuts of the feeling of all outward feare",emotions,social_relations,anatomy,violence,sensations,spatial,
A pubike care of others burden us,politics,feelings,labor,,,,
whether bends your far-fetcht Oratory,spatial,language,,,,,
on my honour's pawne Ile free your Citty from the armes of Venice.,recognition,economics,social_relations,urban,anatomy,politics,
"[on the senate's] pawne of honor I engagde my loue, Slav'd my affections, and ",politics,economics,recognition,emotions,social_status,,
[[on the senate's] pawne of honor] did prostitute The freedome of my soul,politics,economics,recognition,sexuality,social_relations,religion,
as I live A Prince vnstainde in honor,life,politics,cleaning,recognition,,,
I will free Your Citty from Ferraras hottest fury.,social_relations,urban,temperature,emotions,,,
"your passions, Emptied of th'obiects that they wrought upon",emotions,spatial,labor,,,,
"it [the heavy news] doth presse the Organs of my speech, And like a lethargie doth numbe those motions should giue it vtterance.",weight,language,violence,anatomy,medicine,sensations,movement
Some standersby helpe to vnlade his [the protector's] burthen. The Camel else will sinke downe vnder it.,social_relations,assistance,labor,animals,destruction,spatial,
"the griefe I feel Will be as heavy on your now light head,",emotions,weight,anatomy,mental_faculty__state__entities,,,
"Singing with Angels in the quire of heauen, The Requiem of Saints.",music,religion,death,,,,
your furious angers live no longer.,emotions,life,privation,,,,
reconcile my fury in your armes.,social_relations,emotions,anatomy,,,,
with her our armes are dead.,women,military,death,,,,
"The stateliest general prop is iealousie,",politics,assistance,emotions,,,,
"feede some hope, by deeming him a villaine, That sooths this sorrowfull newes into our eares",food,emotions,mental_faculty__state__entities,ethics,feelings,language,anatomy
"nurse Some mischiefe in my bosome for reuenge,",food,ethics,anatomy,violence,,,
"The trickes of State-mowles that worke under Princes,",deception,politics,animals,labor,spatial,,
"like the vipers young, That how-so-ere prodigious and hurtfull, To many open and secure passengers, ",animals,lifes_cycle,mental_faculty__state__entities,violence,spatial,danger__safety,geography
"[like the vipers young,] Yet do they neuer liue: without the death Of him that first gaue motion to their breath.",animals,lifes_cycle,life,death,movement,breathing,
Your wrongs  might speake revenge,ethics,language,violence,,,,
"Did not this flood of sudden griefe, take up All passion in it selfe",nature,emotions,privation,,,,
Liues Florence in your loves,life,politics,emotions,,,,
with Iulias death Dies the memoriall of your former wrongs?,death,mental_faculty__state__entities,ethics,,,,
"Then are our Citty gates ope to your loues,",urban,spatial,emotions,,,,
"This night the rauenous mother of the world, (The all corrupting earth that eats her yong) Swalloweth the body of your Iulia.",darkness,familial,nature,destruction,food,anatomy,
the near alliance to her blood,social_relations,anatomy,,,,,
I stand bound in bonds of gratitude To both your princely worths,incarceration,recognition,politics,,,,
Our bells ring forth our sorrowes in sad peales,music,emotions,sounds,,,,
Our Churches  But mourn in black.,religion,emotions,colors,,,,
"Sorrow sits sad and weeping in our streetes,",emotions,physical_activities,urban,,,,
"All eyes are wet with teares, saue those where griefe Hath dryed all moysture vp. ",anatomy,physical_attributes,emotions,consumption,,,
"Our sucking infants Are pale and leane with hanging on the breasts, Of griefe-spent mothers",food,lifes_cycle,physical_attributes,anatomy,emotions,familial,
"how slow paced is sorrow? Griefe is a Tortoyse to the nimble sense,",speed,movement,emotions,animals,sensations,,
"the officers of love Liue at our funerall, and in death do moue.",politics,emotions,life,death,movement,,
More mists of pollicy?,nature,politics,,,,,
"The clue of reason cannot guid the fate, Of this Dedalion maze",mental_faculty__state__entities,education,mystical,myth,architecture,,
"wer't not prophane In me to question nature for my birth, And quarrell with my stars ",religion,mental_faculty__state__entities,reproduction,violence,astrology,,
"I am her Iaylor, To whome, both he [father] and I do owe alleagiance.",incarceration,familial,devotion,,,,
So shall your duty keepe me bound to thee.,devotion,preservation,incarceration,,,,
"Mulleasses  is your husband, my word has seald it.",matrimony,language,heraldry,,,,
"[Daughter] Be still my Argus [ship],",familial,feelings,myth,nature,,,
"Heere's a distracted laborinth of wit,",mental_faculty__state__entities,spatial,,,,,
"Let me not live to see those tapers burne, That leade me to his bed:",resistance,life,sensations,fire,social_relations,sexuality,
"Religion is the fooles bridle, worne by pollicy As horse wear trappers to seeme faire in show, And make the worldes eye dote on what we seeme.",religion,mental_faculty__state__entities,equestrian,politics,appearance,anatomy,
Be silent yet for duty stops your mouth,sounds,devotion,hindrance,anatomy,,,
"tis she and I [women], That must be Chorus in this Tragedy.",women,theatre,,,,,
"they wrongd nature in me, made me an Eunuch,",ethics,nature,sexuality,,,,
"To serue the hidden secrets of his lust,",social_relations,concealment,sexuality,,,,
"Betwixt these three [wife, turk, and sovereign] I stand as in a maze, In edged to all their sins",spatial,matrimony,ethnicity__nationality,politics,physical_activities,religion,
made a baud To lust and murder,sexuality,violence,,,,,
"Bindes me with golden offers to his trust,",incarceration,economics,social_relations,,,,
Short warning for a journey vnto heauen:,danger__safety,geography,religion,,,,
"This is a riddle of some Sphinx, let Oedipus Vnfold the meaning: I leave it to th'euent, And thinke most safety in not knowing it.",language,myth,discovering,mental_faculty__state__entities,danger__safety,,
"Prosper me Saturne, and those starres of sinne, Whose influence makes villaines fortunate.",social_relations,myth,astrology,religion,ethics,mystical,
I will returne by this Circyan Isle without transformation ,movement,myth,geography,transformation,privation,,
"since Hebe has discovered her secrets I will turn Jupiter, hate the whole sexe of women, and onely embrace thee my Gammede.",myth,concealment,emotions,women,affection,,
you are as passionate for the disloyalty of your Seamstress as some needy knight would be for the loss of some rich magnificos widdow,emotions,devotion,women,social_status,privation,economics,familial
"the supporters of the Court, the Lady of the labby gape after your good parts like so many griggles after fresh water, and can you withhold the dew of your moyster element?",politics,women,facial_expressions,character_traits__nature,animals,preservation,nature
I would not have bowed to that painted image for her whole Dukedom,social_relations,art,politics,,,,
"women and lotium [urine hair lotion] are reciprocall, their savour is noysome.",women,anatomy,social_relations,appearance,sensations,,
here's a slave in folio will seeme to slight the love of a Princesse,social_status,language,derision__offense___contempt,emotions,politics,,
he would willingly spend his talent on an oyster wife.,mental_faculty__state__entities,economics,character_traits__nature,food,matrimony,,
"thankes, sweete Thalia, you hast begot a child of mirth in my braine, I will put it to this creature of Florence to nurse",recognition,reproduction,joviality,anatomy,social_relations,politics,food
"their vnderstandings, which by reason of a general spring, halt and debility in their [ladys] hamms ",mental_faculty__state__entities,nature,hindrance,anatomy,women,,
"[you disdaine her [Lady] love] I am earthly, and like not to participate with the element of the fire",derision__offense___contempt,women,emotions,nature,social_relations,fire,
"reward should pricke you on with more courage, to such an honorable encounter.",economics,violence,character_traits__nature,social_relations,,,
[a vow not to vncase my selfe to any of that sexe.] you grounded your oath upon the vncleanes of your shirt.,language,clothes,women,architecture,cleaning,,
"all wants supplyed, your debts satisfied, your fortunes eternally mounted:",emotions,economics,mystical,time,physical_activities,,
love-sicke Lady,emotions,medicine,women,,,,
"By women man first fell, by them Ile rise",women,men,destruction,physical_activities,,,
"him you shalt sacrifice Vnto Timocleas ghost, whose humerous soul Shall in his passage over Acheron Make Charon laugh, ",violence,mystical,religion,spatial,myth,derision__offense___contempt,
the sterne judge of hell Smile at his folly,judiciary,religion,facial_expressions,mental_faculty__state__entities,,,
this is the fatall key Conducts him to those shades by Borgias hand.,death,domestic,social_relations,darkness,anatomy,,
"SEt downe that heavy load of misery [coffin], SO would the easing you, might ease my heart!",weight,labor,suffering,death,feelings,anatomy,
let it not impeach The grauity of age to let some teares Fall at your funerall,resistance,mental_faculty__state__entities,lifes_cycle,anatomy,death,,
"true relique of that love I did inherit from your fathers mouth,",religion,emotions,economics,familial,anatomy,,
In thee I am depriu'd of all that honour I should have purchac'd by that thankefull care,privation,recognition,economics,feelings,,,
"Did not my griefe load all my powers of speech, Oh I could spend my age in commenting Of those true virtues dyed with him and thee,",emotions,labor,language,economics,lifes_cycle,character_traits__nature,death
sorrow shuts my brest,emotions,hindrance,anatomy,,,,
Looke from your holy mansion [grave] sacred maid,sensations,religion,architecture,death,women,,
"These armes in hope of conquest of your loue, That round themselues in steele, shall claspe the aire,",anatomy,military,emotions,spatial,weapons__armor,affection,nature
in their empty foldings live still barren Of all the comfort my youths hope did promise.,privation,affection,life,reproduction,feelings,lifes_cycle,social_relations
"I cannot vent my brest in love sick tearmes,",privation,anatomy,emotions,medicine,language,,
nor prostitute An oily passion curiously composd Of riming numbers at my mistres hearse:,sexuality,emotions,mental_faculty__state__entities,art,women,death,
"My honour, and that weake abillity Our state affoords, to do your graces seruice, Lies at your princely feete",recognition,economics,social_relations,politics,anatomy,,
"she liues Like a pure relique of some holy Saint, Shrind in our breasts for euer: ",life,cleaning,religion,anatomy,time,,
Heere lives a lasting memory of the dead.,life,preservation,mental_faculty__state__entities,death,,,
"whose pursuits in loue, Dies with my strong averring of her death,",courting,emotions,death,judiciary,,,
"loyalty I owe vnto the starres,",devotion,economics,astrology,,,,
Religion (thou that ridest the backes of Slaues Into weake mindes insinuating feare And superstitious cowardness),religion,equestrian,anatomy,social_status,mental_faculty__state__entities,emotions,character_traits__nature
[Religion] you robst Man of his chiefe blisse by bewitching reason.,religion,economics,mystical,mental_faculty__state__entities,,,
"Nature at these my brow bend: your mysteries Wrought by your own hands in our actiue braines,",nature,facial_expressions,mystical,labor,anatomy,,
"[nature] you art my God,",nature,religion,,,,,
"Serpent sliding through the mindes of men,",animals,movement,mental_faculty__state__entities,men,,,
"I stoope at your [Nature] renown And thinke al's vacuum aboue a crowne,",social_relations,nature,recognition,mental_faculty__state__entities,spatial,politics,
"Thou [prophet] at whose nod Whole Nations stoopt, and hold thee still a God:",religion,facial_expressions,politics,social_relations,mental_faculty__state__entities,,
"Thou God of Mecha, mighty Mahomet,",religion,urban,,,,,
"mew not up my soul, In the pent roome of conscience:",incarceration,religion,spatial,ethics,,,
"Make me not morall Mahomet, coopt up And fettred in the fooles phylosophy,",ethics,religion,incarceration,mental_faculty__state__entities,education,,
let my hope but touch The marke I aime at:,emotions,sensations,hunting__fishing,,,,
then the gazing time Shall in the present hide my former ill Successe like lethe to the soules in blisse Makes men forget things past,sensations,time,concealment,ethics,myth,religion,mental_faculty__state__entities
[Lethe] crownes our sins With name of valour,myth,politics,religion,language,character_traits__nature,,
What diuell interrupts me? --My duty.,religion,hindrance,devotion,,,,
Your duty is too dilligent that dares Peer into my retreats,devotion,character_traits__nature,sensations,danger__safety,,,
Age and diseases breed consumptions And rot him.,lifes_cycle,medicine,reproduction,consumption,,,
"The Sun on suddaine feeles a darke ecclipse And hides his siluer face behinde the moone, ",astrology,sensations,darkness,concealment,colors,anatomy,
[hides his siluer face behinde the moone] As loath to see some prodegies appeare.,astrology,concealment,anatomy,emotions,sensations,mystical,appearance
"Rise, rise ye mistie-footed Jades of night, your darke mistresse",physical_activities,nature,anatomy,equestrian,darkness,women,clothes
"your darke mistresse with her sable vayle, Like a blacke Negro in an Ebone chaire, Athwart the worlds eye",darkness,women,colors,ethnicity__nationality,spatial,nature,anatomy
"from your [darke mistresse] foggy breaths Hurle an Egiptian grossenes through the ayre, That none may see my plots",darkness,women,breathing,medicine,ethnicity__nationality,sensations,deception
"The daye's eye is out, ",time,anatomy,consumption,,,,
"a thousand little starres Spread like so many torches, about the skye, Make the world shew like Churches hung with blacke, And set with tapers at some funerall:",quantities,astrology,fire,nature,religion,colors,death
"Perhaps tis thirsty for the blood of Princes, Blase out prodigious starre, ",food,anatomy,politics,fire,mystical,astrology,
"[prodigious starre,] let the fire Dart soul amazing terror to all eyes:",mystical,astrology,fire,religion,emotions,anatomy,
[prodigious starre] Be like the Basiliske fatall to behold:,mystical,astrology,myth,death,sensations,,
"Ile fat the slimy earth more than the plague,",food,nature,medicine,,,,
"from her [the earth's] bosome send the blood of Kings Stild into oyly vapours & borne on high, ",women,anatomy,nature,commands,politics,alchemy,spatial
[Blood of kings] To expiate those flames that else would die.,anatomy,politics,judiciary,fire,death,,
Thou art no tutord Pollitition To lay another in your bosome.,education,politics,spatial,anatomy,,,
"a state-villaine must be like the winde, That flies vnseene yet lifts an Ocean Into a mountaines height, ",politics,ethics,nature,appearance,physical_activities,spatial,
[a state-villaine] That on the sands Whole Navies may be split in their discent.,politics,ethics,nature,nautical,destruction,spatial,
"I stand aboue thee, and as from a rocke Whose eminence out swelles the raging flood, See your hopes shipwrackt: ",physical_activities,spatial,nature,emotions,sensations,nautical,
"credulity, Securities blinde nurse, the dreame of fooles:",mental_faculty__state__entities,danger__safety,deformities__disabilities,food,,,
"[credulity] The drunkards Ape, ",mental_faculty__state__entities,food,animals,,,,
"[credulity] that feeling for his way Euen when he thinkes in his deluded sense, To snatch at safety, falls without defence",mental_faculty__state__entities,sensations,spatial,adhesion,danger__safety,physical_activities,
"Twice has the Nemean Lyon breathd forth fire, And made the scalded Dogge-star pant with heate.",time,myth,animals,breathing,fire,astrology,temperature
Twice the dayes planet through the burning signes Hurled his fierie chariot,time,astrology,fire,violence,movement,,
"The sonne of Borgias her to learne the tongues [of Christendom],",familial,education,language,religion,,,
Timoclea his wife (the death of all his plots If she suruiues),matrimony,death,deception,preservation,,,
As if my hopes flew not as high as his:,emotions,animals,spatial,,,,
"to secure my flight and make my wings Stronger then his that melted in the Sun,",danger__safety,animals,physical_attributes,consumption,nature,,
"Image of death and daughter of the night, Sister to Lethe all oppressing sleepe,",mental_faculty__state__entities,death,familial,darkness,myth,violence,sleep
"[Revenge] Thou that amongst a hundred thousand dreames Crownd with a wreath of mandrakes sitst as Queen, ",violence,mental_faculty__state__entities,politics,nature,medicine,,
"[Revenge] To whome a million of care-clogged souls, Lye quaffing iuyce of Poppy at your feete,",violence,quantities,feelings,hindrance,religion,medicine,anatomy
"[Revenge] Refigne your vsurpassion, and dislodge, ",violence,cleaning,politics,spatial,,,
"Hang on the eyes of sloth and make them sleep Whose hearts are heauie, ",violence,adhesion,character_traits__nature,sleep,anatomy,weight,
you whose blood Stands in your full vaines like a charmed floud Receiue the air againe,anatomy,mystical,nature,breathing,,,
suruiue his hate That on thy graue againe climbes high to reach his fate.,preservation,emotions,death,physical_activities,spatial,mystical,
"Such power I chalenge  in my voice, To wake you from your graue.",life,resistance,sounds,sleep,death,,
my bed [grave] Lyes much vnseemely,domestic,death,etiquette,,,,
these the Trophies of your Ancestours. This is the buriail common to your blood.,architecture,familial,death,anatomy,,,
"that desease that bred in Paradise, Swels like the Presters poison in our vaines (To which al men are heirs ambition) Desire to be like God",medicine,reproduction,religion,animals,anatomy,humanity,character_traits__nature
What brest could be so cruelly ambitious?,anatomy,ethics,character_traits__nature,,,,
Whose honor or whose fortunes could my life Ecclipse or darken?,recognition,mystical,life,astrology,darkness,,
"your resolution like a fire, Makes my warme blood boyle",mental_faculty__state__entities,fire,temperature,anatomy,,,
by a promise of your daughter  to me for wife Made my tongue say,language,familial,matrimony,anatomy,,,
"choke all passion, And feminine complaints in thoughts of vengance.",violence,emotions,women,language,mental_faculty__state__entities,,
Forget you are a woman and be like your wrongs Full swolne with death,mental_faculty__state__entities,women,ethics,reproduction,death,,
let your inuentiue braines Carry more fate in their conception Then Hecuba's womb to Troy,mental_faculty__state__entities,anatomy,labor,mystical,reproduction,myth,
As full as Jealousie: or the wife of Jason Rob'd by the faire Corinthian of her loue.,emotions,matrimony,myth,economics,,,
thus [with a kiss] we seale our resolution,sexuality,heraldry,mental_faculty__state__entities,,,,
"I ascend, and from proud Fortunes wheel, Pull my own fate",spatial,character_traits__nature,mystical,movement,physical_activities,,
"my proud thoughts Vsurpe aboue your greatnesse [Mahomet, the prophet]",character_traits__nature,mental_faculty__state__entities,politics,spatial,religion,,
"Apprehension, Thou that giuest foode vnto the soul of man, The best companion to relieue the minde.",mental_faculty__state__entities,food,religion,social_relations,assistance,,
[Apprehension] What sweete suggestions of my future blisse have I from thee,mental_faculty__state__entities,food,time,religion,,,
I am transported Beyond the power of reason!,movement,spatial,mental_faculty__state__entities,,,,
the present time Craues a more sober temper,time,emotions,mental_faculty__state__entities,character_traits__nature,,,
"release your thoughts, Giue freedome to those faculties of nature, That made your sexe first dare to reach at pleasure.",incarceration,mental_faculty__state__entities,nature,women,character_traits__nature,sexuality,
murder and blood [lust] Are the two pillars of a Statesman's good.,violence,anatomy,sexuality,architecture,politics,,
"A Pollititian Proteus-like must alter His face and habit,",politics,myth,transformation,facial_expressions,clothes,,
[A Pollititian] like water seeme Of the same colour that the vessell is That doth containe it,politics,nature,colors,spatial,,,
[A Pollititian] varying his forme With the Cameleon at each obiects change.,politics,appearance,animals,transformation,,,
"Twice like a Serpent have I cast my skin, Once when with mourning sighs I wept",quantities,animals,privation,anatomy,emotions,sounds,
"That coat is cast: now like an Amorist, I come in louing tearmes to court my Julia,",clothes,privation,emotions,language,courting,,
"of all shapes This sits me worst: whose constellation Stampt in my rugged brow the signes of death, Enuy and ruine",appearance,astrology,economics,anatomy,death,emotions,destruction
"yet must my tongue with passionate oathes and protestations, With sighes, smooth glances, and officious tearmes, Spread artificiall mists before the eyes Of credulous simplicity",anatomy,emotions,language,sounds,sensations,nature,mental_faculty__state__entities
"he that will be high, Must be a Parasite, to fawne and lye.",spatial,social_relations,deception,language,,,
"the instant but a wooing sceane,",time,courting,theatre,,,,
Prepare your wit my Lord to fight with words.,mental_faculty__state__entities,violence,language,,,,
Fair as the morning.,appearance,time,,,,,
Attractiue Sunshine: all affections mouing.,nature,emotions,movement,,,,
[Humbly bent] How supple seemes ambition?,social_relations,physical_attributes,character_traits__nature,,,,
Devinest faire to whome all hearts should bow.,religion,appearance,anatomy,social_relations,,,
"my feature Is but earthmould, the weake frame of nature.",appearance,nature,physical_attributes,,,,
"grac't [your features] with heauenly vertue, it seemes deuine",appearance,religion,character_traits__nature,,,,
"your light's aboue me, yet let it shine Like the daies beauty on the lowly plaines.",light,spatial,time,appearance,nature,,
Subiects are no fit loves for Soueraignes. --High comets from the earth draw up then nurture.,politics,etiquette,spatial,astrology,nature,food,
from the Sunne [sovereign] true starres [subjects] have all their lustre.,nature,politics,astrology,light,,,
True starre on earth:,astrology,nature,,,,,
"you have robd me of, My honor and my life: for I am dead,",economics,recognition,life,death,,,
Make me as free as I was born,social_relations,reproduction,,,,,
The Soueraigne of my heart,politics,anatomy,,,,,
"kneele to you, And make my thoughts as humble as my knees:",social_relations,mental_faculty__state__entities,character_traits__nature,anatomy,,,
"the poize of love Whome some terme light, and giues him wings To soare aloft",weight,emotions,language,animals,physical_activities,spatial,
I am asham'd that any blood of mine Should harbor such an incest,etiquette,anatomy,concealment,sexuality,,,
"my bloods vessell given vnto my soule, As a pure mansion to inhabit in Shall while I am and breath, be vnprophan'd.",anatomy,religion,cleaning,architecture,accommodation,breathing,
"Ile be more chaste then Lucrece, dye vnstaind.",sexuality,historical,death,cleaning,,,
"we are no Venus' darlings, No delight for women:",myth,affection,sexuality,women,,,
Is your blood holy? are you a sanctuary That none may violate. ,anatomy,religion,accommodation,judiciary,,,
religion Bindes your obedience minion to my [father's] will.,religion,incarceration,devotion,social_status,familial,mental_faculty__state__entities,
"for that affection That you would have me captiue in his breast, Know it is prisoner at so deere a rate, As all my strength can no way ransome it.",incarceration,anatomy,mental_faculty__state__entities,economics,physical_attributes,,
"A more soft style beseemes a subiects tongue,",language,etiquette,politics,anatomy,,,
Think what power This hand doth gripe,mental_faculty__state__entities,politics,anatomy,adhesion,,,
"these fits must end, Trees are as easie broke that will not bend.",medicine,hindrance,nature,destruction,social_relations,,
the slave make a lecherous progresse to Lucifer. ,social_status,sexuality,movement,religion,,,
he shall have his braines fly about his eares in the hight of his venery,anatomy,animals,spatial,sexuality,,,
my hand shall be cleere from the blood of the goat [sacrifice],anatomy,cleaning,animals,violence,,,
how lamentably the coxcombe would sigh,emotions,theatre,sounds,,,,
he passeth as if he would steale to hell without company,movement,economics,religion,social_relations,,,
Ladyes are of the nature of Idols and will be serued on your knees.,women,character_traits__nature,religion,social_relations,anatomy,,
"the key that opens to the Via lactea [milky road, woman's bedroom]",domestic,spatial,food,women,,,
I shall be tormented with this court owle [madam],violence,politics,animals,women,,,
"the flesh-fly has espied me, she will neuer linne sucking at me so long as I have any matter for her to worke vpon.",anatomy,animals,discovering,hindrance,time,food,labor
"that is neuer hoodwinckt? he is an extreme enemy to Haberdashers: affecting no blocke, but that which nature bestowed on him:",concealment,social_relations,clothes,economics,nature,,
"the preface to your compoundresse of man's flesh,",language,alchemy,men,anatomy,,,
"In his pace he imitates Fensers, and stands much upon distance",movement,art,games__sports,spatial,,,
when the Sunne is in Gemini the Dog-starre attends without doores: ,astrology,animals,social_relations,privation,architecture,,
he is a great friend to Aries but naturally hates Pisces for it is a chill signe and cooles his toes ouer-vehemently: ,social_relations,astrology,emotions,temperature,anatomy,,
"it be given to those that be borne vnder your northren clyme, to thaw and melt away at the Sun-shine of beauty: ",reproduction,geography,consumption,nature,appearance,,
"his flight [] is like the Rauens, that hauing spied a fat carckase, roams about to calmore of her fellowes to the prey.",animals,sensations,death,movement,language,social_relations,food
our countreymen are not so addicted to titles of honour: they vse knighthood as rich Iewellers desire Iemms rather for traficque then ornament.,politics,devotion,social_status,economics,emotions,art,
ignorance in the shape of a Citizen mufled in the scarlet of magistracy that could not write his own name.,mental_faculty__state__entities,appearance,politics,concealment,colors,language,
enmity betweene witt and cloakes lin'd through with veluet,social_relations,mental_faculty__state__entities,clothes,spatial,,,
"There is no thriuing but by impudence and panderism: he that is furnished with one of these two quallities shall begg more of a foolish Lord at a marrowbone breakfast, then all the Poets in the whole towne shalll rhyme out of him",economics,derision__offense___contempt,sexuality,social_status,food,art,urban
the sonne of a Pedler mounted on a foote cloth,familial,economics,physical_activities,anatomy,clothes,,
as forward in as hot a seruice,character_traits__nature,temperature,social_relations,,,,
So long as my ham-strings hold. ,time,anatomy,preservation,,,,
I will bury my acquaintance in silence.,death,social_relations,sounds,,,,
the Cuckoe foresings his own dirdge,animals,music,death,,,,
I shall neuer henceforth taste of lowsie misfortune,time,food,suffering,,,,
"Venus supplying what Bordello most lackes, Courtiers and Porters live by able backes.",myth,economics,privation,politics,architecture,anatomy,
drowsie sleep hangs heavy on our eyes,sleep,adhesion,weight,anatomy,,,
sleep vnto your sorrowes.,sleep,emotions,,,,,
"Sweete quiet be a guard vnto you both, So may you sleep for euer.",sounds,military,sleep,time,,,
"my hearts treasurer, what now remaines?",anatomy,economics,preservation,,,,
"things done for state, Must carry for me, and with an outward glosse, Varnish and couer what would else seeme grosse,",politics,appearance,light,concealment,ethics,,
easie to be trapt In a more cunning net.,incarceration,deception,hunting__fishing,,,,
"dissoluing like a fier that's hid, Spreading a burning poyson through the blood,",concealment,fire,spatial,medicine,anatomy,,
"Turnes to a hot quotidian and, doth leese Although of poison in a mad desease:",transformation,temperature,medicine,mental_faculty__state__entities,,,
no impute can touch your name:,judiciary,sensations,language,,,,
My fortunes on your councell noble Turke. We'll climb together: ,mystical,assistance,character_traits__nature,ethnicity__nationality,physical_activities,,
"he that is wise, Will tread on any that may make him rise.",mental_faculty__state__entities,violence,physical_activities,,,,
"Blush not you chast and modest Queene of night, ",facial_expressions,sexuality,politics,darkness,,,
"[Queene of night] Nor hide your siluer crescent in a clowde, To see me thus Rhamnusia like attir'd:",politics,darkness,concealment,nature,sensations,myth,clothes
"Stare on ye Argus eyed heavens and se a woman More full of vengeance, then your iealous Queene.",sensations,myth,religion,women,violence,emotions,politics
"Medusa sometime the love of Neptune, (But after for your lust transformd a monster)",myth,emotions,sexuality,transformation,deformities__disabilities,,
"[Medusa] Lend me those serpents that about your head Curle up like Else-knots, ",myth,economics,animals,anatomy,clothes,,
[Serpents] at whose horrid sight The Sun may vanish or stand still affright.,animals,nature,appearance,physical_activities,emotions,,
"you Furies ministers of feare, (That at Astreas feet lye bound in snakes Attending her Just sentence to begin",myth,politics,emotions,anatomy,incarceration,animals,judiciary
Terror of conscience in the brest of sin,emotions,ethics,anatomy,religion,,,
"This night be powerfull in me and inspire My face with feare, my heart with rancke-swolne ire.",darkness,mental_faculty__state__entities,anatomy,emotions,medicine,,
"Dissolue ye glassy pearles and melt in drops, Or with the teare-spent mother Niobe Turne into stones",consumption,economics,anatomy,familial,myth,transformation,materials
Immortall essence Virgin-element So may I tearme your airy substance freed From the grosse mixture of our earthly load,death,sexuality,language,nature,social_relations,labor,
"I am throngd with passions & each craving vent None can have passage till some teares be spent,",social_relations,emotions,privation,spatial,anatomy,economics,
"fall ye silver pearles, and of the earth Purchase a soft relenting at my griefes.",spatial,economics,nature,privation,emotions,,
"Shoure downe like rainie drops, and pearce the stones Make them receiue my sorrowes,",nature,spatial,violence,materials,emotions,,
"from mine eyes [tears] Run like to christall riuers through the world, ",anatomy,materials,nature,spatial,,,
"[tears] Slyde ore the flowry medowes that the Nimphs Dancing in fairy rings upon the grasse, May leave their sport, and weepe to see you passe,",anatomy,nature,myth,joviality,emotions,sensations,movement
"by the dolefull murmur as you goe, The hils may hear you mourne and sound my woe,",sounds,movement,nature,sensations,emotions,,
"Thy habit is an Index to reuenge,",clothes,language,violence,,,,
"your wrongs seem to pleade for of my loue, Speake them, ",ethics,judiciary,emotions,language,,,
"deale them [thy wrongs] through the yeelding air Into my eares, and they shall be to me Like the sterne drum, or musique of the war Vnto the coward, or the fainting souldiour.",ethics,nature,spatial,anatomy,music,military,character_traits__nature
Murder is open mouthd,violence,spatial,anatomy,,,,
"[Murder is] as the Sea Whose covetous waves in prisoned by your land, Bellow for griefe and roare upon the sand.",violence,nature,economics,incarceration,sounds,emotions,
"from the earth it [murder] cries, and like a childe Wrongd by his carelesse nurse will not be stilld; ",nature,violence,sounds,lifes_cycle,ethics,food,feelings
"[from the earth it [murder] cries] Are ye then deafe yea gods, ye cannot heare it?",nature,violence,sounds,deformities__disabilities,religion,sensations,
"is Just Libra fallen out of your [gods] Spheares, That wronged States must to the earth appeale For iustice and reuenge.",astrology,religion,ethics,politics,nature,judiciary,violence
Then tis not prophane T'usurpe your [gods] functions:,religion,politics,,,,,
my hand shall be as Just As my soul louing: and they both shall leave A story to the world of my reuenge.,anatomy,ethics,religion,emotions,language,politics,violence
crowne all vengeance in a passion.,politics,violence,emotions,,,,
"that the genious that attends on man, Should be a doubtfull Oracle to the soul",mystical,social_relations,religion,,,,
"[the genius] whispering to our intellect what fate Hangs like a falling tower upon his state,",mystical,language,mental_faculty__state__entities,destruction,architecture,character_traits__nature,
"be no more of force to length our joy, Then were Cassandras prophecies to Troy.",time,emotions,myth,mystical,,,
